
TOB;Tobalaba'1
COL;Cristóbal Colón'0
BIL;Francisco Bilbao'0
PDG;Principe de Gales'0
SBO;Simón Bolivar'0
PEG;Plaza Egaña'0
LOR;Los Orientales'0
RGR;Grecia'0
LPR;Los Presidentes'0
RQU;Quilín'0
LTO;Las Torres'0
MAC;Macul'0
VMA;Vicuña Mackenna'4a
VVA;Vicente Valdés'5
RMA;Rojas Magallanes'0
TRI;Trinidad'0
SJE;San José de la Estrella'0
LQU;Los Quillayes'0
ECO;Elisa Correa'0
HSR;Hospital Sótero del Rio'0
PIN;Protectora de la Infancia'0
LME;Las Mercedes'0
PPA;Plaza de Puente Alto'0
