
PM;Plaza de Maipú'0
SB;Santiago Bueras'0
DS;Del Sol'0
MT;Monte Tabor'0
LP;Las Parcelas'0
LS;Laguna Sur'0
BR;Barrancas'0
PU;Pudahuel'0
SO;San Pablo'1
PR;Lo Prado'0
BL;Blanqueado'0
GL;Gruta de Lourdes'0
QN;Quinta Normal'0
RC;Cumming'0
NA;Santa Ana'2
PZ;Plaza de Armas'0
BE;Bellas Artes'0
BQ;Baquedano'1
PB;Parque Bustamante'0
SI;Santa Isabel'0
IR;Irarrázaval'0
NU;Ñuble'6
RA;Rodrigo de Araya'0
CV;Carlos Valdovinos'0
AG;Camino Agrícola'0
SJ;San Joaquín'0
PE;Pedrero'0
MA;Mirador'0
LF;Bellavista de La Florida'0
VV;Vicente Valdés'4
